Reference, Value, Footprint, Datasheet, Digi-Key Part Number, Manufacturer Part Number, Color, Alternative, Notes, CSD-Electronics Part Number; 
D4, BAS70BRW, SOT363, , BAS70BRW-TPTR-ND, , , , , ; 
R5, 680, SM0805, http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf, RMCF0805JG680R-ND, , , , , ; 
R4, 330, SM0805, http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf, RMCF0805JG330R-ND, , , , , ; 
D3, LED, SM0805, http://optoelectronics.liteon.com/en-us/api/DwonloadFileHandler.ashx?txtSpecNo=DS-22-99-0188&txtPartNo=LTST-C170KSKT, 160-1416-2-ND, 160-1416-2-ND, yellow, , , ; 
D5, LED, SM0805, http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C171TBKT.pdf, 160-1645-2-ND, LTST-C171TBKT, blue, , , ; 
P4, MICROUSB, ZX62-B-5PA, http://portal.fciconnect.com/Comergent//fci/drawing/10118192.pdf, 609-4613-2-ND, 10118192-0001LF, , , , ; 
IC1, ATXMEGA32A4U, TQFP44, http://www.atmel.com/Images/Atmel-8387-8-and16-bit-AVR-Microcontroller-XMEGA-A4U_Datasheet.pdf, ATXMEGA32A4U-AURTR-ND, , , ATXMEGA128A4U-AU-ND	, , ; 
R2, 330, SM0805, http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf, RMCF0805JG330R-ND, , , , , ; 
R3, 330, SM0805, http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf, RMCF0805JG330R-ND, , , , , ; 
D2, LED, LED-0805, http://optoelectronics.liteon.com/en-us/api/DwonloadFileHandler.ashx?txtSpecNo=DS-22-99-0150&txtPartNo=LTST-C170KRKT, 160-1415-2-ND, LTST-C170KRKT, red, , , ; 
D1, LED, LED-0805, http://optoelectronics.liteon.com/en-us/api/DwonloadFileHandler.ashx?txtSpecNo=DS22-2000-118&txtPartNo=LTST-C171KGKT, 160-1426-2-ND, LTST-C171KGKT, green, , , ; 
C13, 4u7, SM0805, http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_5.pdf, 311-1371-2-ND, , , , , ; 
C12, 4u7, SM0805, http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_5.pdf, 311-1371-2-ND, , , , , ; 
L1, 100n, SM0805, http://www.bourns.com/data/global/pdfs/CV201210.pdf, CV201210-R10K-ND, , , , , ; 
P3, CONN_20, PIN_ARRAY_20X1, , , , , , 1/2 of Part, CSD-Electronics: 15435; 
P1, CONN_20, PIN_ARRAY_20X1, , , , , , 1/2 of Part, CSD-Electronics: 15435; 
C3, 4u7, SM0805, http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_5.pdf, 311-1371-2-ND, , , , , ; 
C1, 4u7, SM0805, http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_5.pdf, 311-1371-2-ND, , , , , ; 
C2, 100n, SM0603_Capa, http://www.samsungsem.com/servlet/DownloadServlet?dir=partnumber&num=&fileName=CL21F104ZAANNND.pdf, CL21F104ZAANNND-ND, , , , , ; 
C4, 100n, SM0603_Capa, http://www.samsungsem.com/servlet/DownloadServlet?dir=partnumber&num=&fileName=CL21F104ZAANNND.pdf, CL21F104ZAANNND-ND, , , , , ; 
X1, 4 MHz, HC-49V, http://www.abracon.com/Resonators/ABL.pdf, 535-9057-ND, ABL-4.000MHZ-B2, , , , ; 
C11, 18p, SM0805, http://www.samsungsem.com/servlet/DownloadServlet?dir=partnumber&num=&fileName=CL21C180JBANNND.pdf, CL21C180JBANNND-ND, , , , , ; 
C10, 18p, SM0805, http://www.samsungsem.com/servlet/DownloadServlet?dir=partnumber&num=&fileName=CL21C180JBANNND.pdf, CL21C180JBANNND-ND, CL21C180JBANNND, , , , ; 
C9, 4u7, SM0805, http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_5.pdf, 311-1371-2-ND, , , , , ; 
L2, 100n, SM0805, http://www.bourns.com/data/global/pdfs/CV201210.pdf, CV201210-R10K-ND, , , , , ; 
C5, 100n, SM0603_Capa, http://www.samsungsem.com/servlet/DownloadServlet?dir=partnumber&num=&fileName=CL21F104ZAANNND.pdf, CL21F104ZAANNND-ND, , , , , ; 
C8, 100n, SM0603_Capa, http://www.samsungsem.com/servlet/DownloadServlet?dir=partnumber&num=&fileName=CL21F104ZAANNND.pdf, CL21F104ZAANNND-ND, , , , , ; 
C7, 100n, SM0603_Capa, http://www.samsungsem.com/servlet/DownloadServlet?dir=partnumber&num=&fileName=CL21F104ZAANNND.pdf, CL21F104ZAANNND-ND, , , , , ; 
C6, 100n, SM0603_Capa, http://www.samsungsem.com/servlet/DownloadServlet?dir=partnumber&num=&fileName=CL21F104ZAANNND.pdf, CL21F104ZAANNND-ND, , , , , ; 
R1, 10k, SM0805, http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf, RMCF0805JG10K0-ND, , , , , ; 
P2, CONN_3X2, pin_array_3x2, , , , , , 3/40 of Part , CSD-Electronics: 15485; 
D6, 6V2, SOD323, http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF, SZMM3Z6V2T1G-ND	, , , , , ; 
